album;artist;date
Too High To Riot;Bas;2016
Encore (Deluxe);Eminem;2004
Graduation;Kanye West;2007
The Slim Shady LP;Eminem;1999
TA13OO;Denzel Curry;2018
The Marshall Mathers LP2 (Deluxe);Eminem;2013
If You're Reading This It's Too Late;Drake;2015
The Never Story;JID;2017
2014 Forrest Hills Drive;J. Cole;2014
Goodbye & Good Riddance;Juice WRLD;2018
I Decided.;Big Sean;2017
Overly Dedicated;Kendrick Lamar;2010
The Divine Feminine;Mac Miller;2016
Based On A T.R.U. Story;2 Chainz;2012
4 Your Eyes Only;J. Cole;2016
You Will Regret (Reloaded);Ski Mask The Slump God;2018
Music To Be Murdered By;Eminem;2020
SATURATION II;BROCKHAMPTON;2017
Faces;Mac Miller;2014
Cole World: The Sideline Story;J. Cole;2011
Thirst 48 Part II;Boogie;2016
The Eminem Show;Eminem;2002
Circles (Deluxe);Mac Miller;2020
Milky Way;Bas;2018
IWASVERYBAD;IDK;2017
beerbongs & bentleys;Post Malone;2018
ALL-AMERICAN TRASH;BROCKHAMPTON;2016
So Far Gone;Drake;2009
GO:OD AM;Mac Miller;2015
Thirst 48;Boogie;2014
Good Kid, M.A.A.D City (Deluxe);Kendrick Lamar;2012
KOD;J. Cole;2018
COLLEGROVE;2 Chainz;2016
Swimming;Mac Miller;2018
The Reach;Boogie;2015
Me Against The World;2pac;1995
Section.80;Kendrick Lamar;2011
Scorpion;Drake;2018
Recovery;Eminem;2010
Under Pressure (Deluxe);Logic;2014
Future & Juice WRLD Present... WRLD ON DRUGS;Juice WRLD;2018
Big Baby DRAM (Deluxe);DRAM;2016
ZUU;Denzel Curry;2019
Bobby Tarantino;Logic;2016
Late Registration;Kanye West;2005
Bobby Tarantino II;Logic;2018
UNLOCKED;Denzel Curry;2020
FM!;Vince Staples;2018
iridescence;BROCKHAMPTON;2018
GINGER;BROCKHAMPTON;2019
Big Fish Theory;Vince Staples;2017
i am > i was;21 Savage;2018
Kamikaze;Eminem;2018
Dark Sky Paradise (Deluxe);Big Sean;2015
B.O.A.T.S II #METIME;2 Chainz;2013
Summertime '06;Vince Staples;2015
SATURATION III;BROCKHAMPTON;2017
Please Excuse Me For Being Antisocial;Roddy Ricch;2019
Stoney (Deluxe);Post Malone;2016
STOKELEY;Ski Mask The Slump God;2018
My Beautiful Dark Twisted Fantasy;Kanye West;2010
Rap Or Go To The League;2 Chainz;2019
All Eyez On Me;2pac;1996
Last Winter;Bas;2014
More Life;Drake;2017
The College Dropout;Kanye West;2004
Is He Real?;IDK;2019
Beautiful Loser (Deluxe);KYLE;2013
SATURATION;BROCKHAMPTON;2017
Hollywood's Bleeding;Post Malone;2019
Everythings For Sale;Boogie;2019
DiCaprio 2;JID;2018
The Marshall Mathews LP;Eminem;2000
DAMN.;Kendrick Lamar;2017
Views;Drake;2016
The Incredible True Story;Logic;2015
Pretty Girls Like Trap Music;2 Chainz;2017
Savage Mode;21 Savage;2016
Revenge Of The Dreamers III: Director's Cut;J. Cole;2019
Nothing Was The Same (Deluxe);Drake;2013
Born Sinner (Deluxe);J. Cole;2013
Issa Album;21 Savage;2017
Smyle (Extended);KYLE;2015
Strays with Rabies;EarthGang;2015
To Pimp A Butterfly;Kendrick Lamar;2015
Light of Mine (Deluxe);KYLE;2018
